№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
3358,9,7,9,10,8,10,9,9,9,"стажировки и проекты помогают закреплять темы, в итоге примеры привязаны к реальным процессам.",ru,medium,positive
3359,4,6,4,2,4,2,3,3,3,"часть техники требует обновление требуется, при этом проекты и задачи помогают закреплять.",ru,medium,negative
3360,5,5,5,4,6,5,6,4,6,"в целом всё нормально, неплохо бы усилить практику и разбор кейсов, по факту (255)",ru,medium,neutral
3361,4,3,3,6,4,4,5,6,3,"без серьёзных замечаний, в итоге проекты и задачи помогают закреплять…, как правило (581)",ru,medium,neutral
3362,10,9,6,9,9,9,10,10,10,"объясняют понятно, делятся опытом и лайфхаками. преподаватели отзывчивые, отвечают оперативно, кстати консультации доступны по расписанию.",ru,long,positive
3363,10,10,9,10,8,10,10,10,10,"уведомления приходят часто быстро, логистика понятная, вдобавок примеры привязаны к реальным процессам!",ru,medium,positive
3364,8,9,9,8,8,10,7,6,7,"программа выглядит современно. программа выглядит современно, вообще примеры привязаны к реальным процессам, стоит подумать усилить практику и разбор кейсов.",ru,long,positive
3365,5,4,8,7,8,4,5,8,5,"аудиториялар стандартты, қолжетімді.",kz,short,neutral
3366,9,8,7,8,7,8,8,10,9,"уведомления приходят без задержек, логистика понятная, при этом примеры привязаны к реальным процессам.",ru,medium,positive
3367,9,9,10,9,9,8,10,10,9,"объясняют ясно, делятся опытом и лайфхаками. преподаватели отзывчивые, отвечают часто быстро, в целом примеры привязаны к реальным процессам.",ru,long,positive
3368,9,10,8,8,9,8,9,9,8,"техника настроена, оборудование доступны, имеет смысл усилить практику и разбор кейсов.",ru,medium,positive
3369,8,8,8,10,7,9,9,8,8,"лабораторные по делу, инструкции понятно изложены, в целом проекты и задачи помогают закреплять!",ru,medium,positive
3370,3,2,1,3,3,3,1,4,3,"оборудование местами устарело для текущих задач. часть техники требует обновить, стоит подумать усилить практику и разбор кейсов…",ru,long,negative
3371,3,5,5,4,4,4,4,2,5,"лабораторные идут по графику., в итоге (851)",ru,short,neutral
3372,4,5,5,5,7,5,5,5,4,оқытушылардың тәсілдері әртүрлі жалпы нақты айта.,kz,short,neutral
3373,6,8,8,9,8,8,8,9,7,"объясняют ясно, делятся опытом и лайфхаками. чувствуется опыт и вовлеченность преподавателей, как правило примеры привязаны к реальным процессам.",ru,long,positive
3374,8,10,8,7,7,9,10,10,9,"аудиториялар жабдықталған, жұмыс істеу ыңғайлы, соңында жобалар пайдалы.",kz,medium,positive
3375,8,9,9,7,6,6,8,9,8,"на практике даются примеры, прикладной фокус ощущается, в целом практика ыңғайлы форматта, тапсырмалар нақты!",mixed,medium,positive
3376,9,8,7,6,9,8,8,8,7,"уведомления приходят часто быстро, логистика понятная. учиться комфортно, впечатления положительные, замечу проекты и задачи помогают закреплять.",ru,long,positive
3377,8,6,8,8,8,9,9,8,8,"оқытушылар жедел жауап береді, түсіндіру түсінікті, жалпы алғанда мысалдар нақты жағдайлардан.",kz,medium,positive
3378,1,1,3,1,2,1,1,1,1,"дефицит практики и разбора задач., замечу (137)",ru,short,negative
3379,5,6,6,7,6,7,6,7,6,"сұрақтар жұмыс тәртібімен шешіледі, қоса вопросы решаются рабочим порядком",mixed,medium,neutral
3380,9,5,9,10,9,9,10,10,10,"кесте тұрақты, байланыс айқын, при этом уведомления приходят без задержек, логистика понятная!",mixed,medium,positive
